,0,1,2
106,-88.0,-24.0,1435280470000.0
107,-88.0,-23.0,1362828200000.0
108,-88.0,-22.0,1277653810000.0
109,-88.0,-21.0,1185155510000.0
110,-88.0,-20.0,1091413740000.0
111,-88.0,-19.0,1002389500000.0
112,-88.0,-18.0,923208057000.0
113,-88.0,-17.0,857762890000.0
114,-88.0,-16.0,808600666000.0
115,-88.0,-15.0,777188868000.0
116,-88.0,-14.0,764155331000.0
117,-88.0,-13.0,769601831000.0
118,-88.0,-12.0,788251083000.0
119,-88.0,-11.0,829290316000.0
120,-88.0,-10.0,886270984000.0
121,-88.0,-9.0,956798927000.0
122,-88.0,-8.0,1037376950000.0
123,-88.0,-7.0,1123480760000.0
124,-88.0,-6.0,1209893910000.0
125,-88.0,-5.0,1291266420000.0
126,-88.0,-4.0,1362749420000.0
127,-88.0,-3.0,1420526350000.0
128,-88.0,-2.0,1462135820000.0
129,-88.0,-1.0,1486534870000.0
130,-88.0,0.0,1493952500000.0
131,-88.0,1.0,1485600460000.0
132,-88.0,2.0,1463270900000.0
133,-88.0,3.0,1429620130000.0
134,-88.0,4.0,1389192810000.0
135,-88.0,5.0,1344632390000.0
136,-88.0,6.0,1298020040000.0
137,-88.0,7.0,1250978300000.0
138,-88.0,8.0,1204726660000.0
139,-88.0,9.0,1160149340000.0
140,-88.0,10.0,1117857250000.0
141,-88.0,11.0,1078241850000.0
142,-88.0,12.0,1041525700000.0
143,-88.0,13.0,1005402130000.0
144,-88.0,14.0,974570062000.0
145,-88.0,15.0,946660966000.0
146,-88.0,16.0,921551307000.0
147,-88.0,17.0,899084845000.0
148,-88.0,18.0,879085486000.0
149,-88.0,19.0,861365076000.0
150,-87.0,-30.0,1496346260000.0
151,-87.0,-29.0,1526076150000.0
152,-87.0,-28.0,1542457390000.0
153,-87.0,-27.0,1542628440000.0
154,-87.0,-26.0,1524386230000.0
155,-87.0,-25.0,1486678650000.0
156,-87.0,-24.0,1430048470000.0
157,-87.0,-23.0,1356888150000.0
